time,day,month,year,hour,pm10 (μg/m³),pm2_5 (μg/m³),carbon_monoxide (μg/m³),nitrogen_dioxide (μg/m³),sulphur_dioxide (μg/m³),ozone (μg/m³),aerosol_optical_depth (),dust (μg/m³),uv_index (),uv_index_clear_sky ()
2026-07-27 00:00:00,27,7,2026,0,12.5,11.0,250.0,6.0,3.1,40.0,0.18,2.0,0.0,0.0
2026-07-27 01:00:00,27,7,2026,1,10.6,9.5,205.0,5.4,2.6,39.0,0.18,2.0,0.0,0.0
2026-07-27 02:00:00,27,7,2026,2,8.9,7.9,187.0,4.8,2.3,39.0,0.18,2.0,0.0,0.0
2026-07-27 03:00:00,27,7,2026,3,7.8,7.0,182.0,4.2,2.1,41.0,0.17,1.0,0.0,0.0
2026-07-27 04:00:00,27,7,2026,4,7.1,6.4,180.0,3.7,2.0,44.0,0.16,1.0,0.0,0.0
2026-07-27 05:00:00,27,7,2026,5,6.1,5.4,181.0,3.3,2.1,47.0,0.16,1.0,0.0,0.0
2026-07-27 06:00:00,27,7,2026,6,5.3,4.8,186.0,3.0,2.3,50.0,0.16,1.0,0.15,0.2
2026-07-27 07:00:00,27,7,2026,7,2.8,2.7,186.0,3.0,2.5,53.0,0.13,0.0,1.05,1.15
2026-07-27 08:00:00,27,7,2026,8,2.9,2.8,177.0,2.7,2.5,60.0,0.13,0.0,2.95,3.35
2026-07-27 09:00:00,27,7,2026,9,3.0,2.9,163.0,2.2,2.5,71.0,0.13,0.0,5.8,6.45
2026-07-27 10:00:00,27,7,2026,10,3.5,3.3,153.0,1.9,2.4,79.0,0.12,0.0,8.55,9.55
2026-07-27 11:00:00,27,7,2026,11,3.6,3.4,148.0,1.7,2.3,83.0,0.12,0.0,10.2,11.65
2026-07-27 12:00:00,27,7,2026,12,3.9,3.8,147.0,1.7,2.1,85.0,0.12,0.0,9.85,11.95
2026-07-27 13:00:00,27,7,2026,13,4.0,3.8,150.0,2.1,2.0,87.0,0.13,0.0,6.65,10.4
2026-07-27 14:00:00,27,7,2026,14,4.8,4.7,150.0,3.2,2.1,91.0,0.13,0.0,5.45,7.6
2026-07-27 15:00:00,27,7,2026,15,6.2,6.1,155.0,4.7,2.4,95.0,0.13,0.0,2.75,4.45
2026-07-27 16:00:00,27,7,2026,16,10.1,9.0,189.0,5.8,2.6,97.0,0.12,0.0,1.2,1.85
2026-07-27 17:00:00,27,7,2026,17,11.9,10.4,273.0,6.3,2.7,95.0,0.15,0.0,0.3,0.45
2026-07-27 18:00:00,27,7,2026,18,11.4,9.7,386.0,6.4,2.8,91.0,0.14,1.0,0.0,0.0
2026-07-27 19:00:00,27,7,2026,19,12.1,10.8,487.0,9.6,3.3,82.0,0.18,0.0,0.0,0.0
2026-07-27 20:00:00,27,7,2026,20,8.4,7.8,578.0,9.3,3.5,74.0,0.15,0.0,0.0,0.0
2026-07-27 21:00:00,27,7,2026,21,7.9,7.7,657.0,8.8,3.8,63.0,0.14,0.0,0.0,0.0
2026-07-27 22:00:00,27,7,2026,22,8.5,8.4,678.0,8.1,3.8,53.0,0.15,0.0,0.0,0.0
2026-07-27 23:00:00,27,7,2026,23,8.2,8.1,598.0,7.2,3.4,46.0,0.16,0.0,0.0,0.0
2026-07-28 00:00:00,28,7,2026,0,7.0,6.8,460.0,6.1,2.9,39.0,0.16,0.0,0.0,0.0
2026-07-28 01:00:00,28,7,2026,1,6.1,5.8,342.0,5.1,2.4,36.0,0.16,0.0,0.0,0.0
2026-07-28 02:00:00,28,7,2026,2,5.6,5.2,270.0,4.4,2.1,36.0,0.16,0.0,0.0,0.0
2026-07-28 03:00:00,28,7,2026,3,5.1,4.8,218.0,3.8,1.9,39.0,0.15,0.0,0.0,0.0
2026-07-28 04:00:00,28,7,2026,4,4.4,4.1,186.0,3.4,1.8,43.0,0.14,0.0,0.0,0.0
2026-07-28 05:00:00,28,7,2026,5,3.9,3.7,185.0,3.3,1.9,45.0,0.13,0.0,0.0,0.0
2026-07-28 06:00:00,28,7,2026,6,3.7,3.5,205.0,3.3,2.1,48.0,0.13,0.0,0.15,0.2
2026-07-28 07:00:00,28,7,2026,7,7.0,6.5,215.0,3.4,2.5,53.0,0.21,1.0,1.1,1.1
2026-07-28 08:00:00,28,7,2026,8,5.4,4.9,200.0,3.0,2.4,63.0,0.2,1.0,3.2,3.25
2026-07-28 09:00:00,28,7,2026,9,4.6,4.2,176.0,2.5,2.3,77.0,0.19,1.0,6.3,6.4
2026-07-28 10:00:00,28,7,2026,10,5.4,5.0,156.0,2.2,2.2,90.0,0.19,1.0,9.4,9.5
2026-07-28 11:00:00,28,7,2026,11,7.0,6.7,144.0,2.4,2.1,100.0,0.19,1.0,10.75,11.65
2026-07-28 12:00:00,28,7,2026,12,10.1,9.3,137.0,2.8,2.1,109.0,0.2,0.0,9.15,11.95
2026-07-28 13:00:00,28,7,2026,13,10.9,9.6,140.0,3.3,2.1,116.0,0.19,0.0,6.9,10.45
2026-07-28 14:00:00,28,7,2026,14,11.8,10.0,157.0,3.8,2.1,123.0,0.18,0.0,5.4,7.7
2026-07-28 15:00:00,28,7,2026,15,13.8,11.6,183.0,4.3,2.2,128.0,0.18,0.0,4.05,4.45
2026-07-28 16:00:00,28,7,2026,16,15.2,12.9,212.0,5.1,2.4,128.0,0.18,0.0,1.65,1.85
2026-07-28 17:00:00,28,7,2026,17,14.3,12.4,236.0,6.3,2.7,119.0,0.17,0.0,0.4,0.45
2026-07-28 18:00:00,28,7,2026,18,13.2,11.6,263.0,7.8,3.1,103.0,0.16,0.0,0.0,0.0
2026-07-28 19:00:00,28,7,2026,19,21.5,17.6,307.0,7.6,3.2,111.0,0.27,1.0,0.0,0.0
2026-07-28 20:00:00,28,7,2026,20,12.7,10.8,393.0,7.1,3.3,98.0,0.24,1.0,0.0,0.0
2026-07-28 21:00:00,28,7,2026,21,10.6,9.6,496.0,6.4,3.4,81.0,0.2,1.0,0.0,0.0
2026-07-28 22:00:00,28,7,2026,22,10.1,9.3,552.0,5.9,3.4,65.0,0.19,1.0,0.0,0.0
2026-07-28 23:00:00,28,7,2026,23,9.8,9.0,504.0,5.9,3.4,54.0,0.19,1.0,0.0,0.0
2026-07-29 00:00:00,29,7,2026,0,9.3,8.5,408.0,6.1,3.3,45.0,0.19,1.0,0.0,0.0
2026-07-29 01:00:00,29,7,2026,1,8.7,7.8,374.0,6.1,3.1,39.0,0.18,1.0,0.0,0.0
2026-07-29 02:00:00,29,7,2026,2,8.0,7.0,478.0,5.9,2.8,37.0,0.16,1.0,0.0,0.0
2026-07-29 03:00:00,29,7,2026,3,7.4,6.2,644.0,5.5,2.4,37.0,0.15,2.0,0.0,0.0
2026-07-29 04:00:00,29,7,2026,4,6.9,5.7,745.0,5.1,2.2,39.0,0.15,2.0,0.0,0.0
2026-07-29 05:00:00,29,7,2026,5,6.7,5.5,724.0,4.8,2.3,42.0,0.15,2.0,0.0,0.0
2026-07-29 06:00:00,29,7,2026,6,6.7,5.6,639.0,4.5,2.6,46.0,0.15,2.0,0.15,0.2
2026-07-29 07:00:00,29,7,2026,7,4.2,3.6,536.0,4.2,3.0,54.0,0.08,1.0,1.2,1.2
2026-07-29 08:00:00,29,7,2026,8,3.8,3.3,410.0,3.5,2.8,64.0,0.08,1.0,3.45,3.45
